años_experiencia,experiencia,modalidad,formación_académica,sector,tipo_de_empleo,beneficios,Ciudad,Salario_medio,Rango_Salarial,Titulo_Habilidades
2.0,junior,,FP Superior,Tecnología y telecomunicaciones,,,Albacete,,,"Tecnico de redes Instalación de redes, cableado de datos, conectorización RJ45, instalación y configuración de Sistemas de Alimentación Ininterrumpida (SAI), mantenimiento en Centros de Proceso de Datos, instalación de torretas para Radio Enlace, diseño y ejecución de Racks de Comunicaciones, panelado, conexionado, adecuación de cableado, pruebas con equipos de medida especializados para redes y fibra óptica, fusión de fibra óptica, instalaciones eléctricas"
0.0,intern,,Ninguna,Agricultura,Jornada completa,,Albacete,,,"#BECA-AHE Executive Assistant to Head of AHE Operations and Head of Albacete Plant Excelente comunicación escrita y verbal, habilidades de gestión del tiempo, dominio de herramientas de productividad de oficina, capacidad para aprender nuevos sistemas, flexible y dispuesto a adaptarse a cambios, habilidad para mantener la confidencialidad de la información, inglés y francés"
,,,FP Superior,Medios de comunicación,,,Albacete,,,"Mecánico Mecánica, electromecánica, trabajo en equipo, orientación al cliente"
,,Presencial,Grado Universitario,Bienes de consumo,Jornada completa,,Albacete,,,"Gestor comercial y de Servicio of. Hellin Negociación, análisis de mercado, gestión de clientes, trabajo en equipo, atención al cliente, conocimientos en MIFID, habilidades de comunicación, conocimientos en banca y finanzas"
,,,Grado Universitario,Energía y medio ambiente,,,Albacete,,,"Senior Business Controller Financial and cost accounting, audit, risk management, internal control, ERPs: SAP, IFS, Business Intelligence, management information systems, dashboards, Microsoft Office, advanced Excel, English C1, Spanish B2"
1.0,junior,,FP Superior,Construcción,Jornada completa,,Albacete,,,"Montador/a electricidad, montaje e instalación de ascensores, trabajo en equipo, mantenimiento preventivo y correctivo, reparación de averías"
,,,Ninguna,Construcción,Jornada completa,,Albacete,21120.0,15.000-22.000,"Soldador Soldadura MIG/MAG, electrodo"
,,,Ninguna,Metales y electrónica,,,Albacete,,,"Mecanico SAT Mantenimiento preventivo, resolución de problemas mecánicos y eléctricos, pruebas de funcionamiento, registro y documentación, atención al cliente, prevención de riesgos, uso de herramientas especializadas, comunicación clara, seguridad laboral, uso de equipos de protección personal"
,,,Ninguna,"Salud, Farmacia y Tecnología Médica",Temporal,,Albacete,,,"Auxiliar de Geriatría Habilidades de comunicación, empatía, trabajo en equipo, formación en geriatría"
3.0,senior,Hibrido,Ninguna,Tecnología y telecomunicaciones,Jornada completa,,Albacete,0.0,,"#CORE DIGITAL CAMPUS - IT Operations Specialist – Sales, MRO & Training ITSM / Ticketing: Expertise in ServiceNow (Incident management, Change management, CMDB).
System & Infrastructure: Basic knowledge of administration of Windows or other OS Server, understanding of virtualized environments.
Databases: Ability to manage routine operations and optimization (SQL Server or equivalent).
Network & Security: Broad knowledge of infrastructure concepts (Active Directory, Load balancing F5, Firewall rule management).
Collaborative Tools: Mastery of the Atlassian suite (JIRA, Confluence) for project management and documentation.
Soft skills: Excellent communication skills, both written and verbal. Ability to work under pressure and manage multiple topics simultaneously. Rigorous, autonomous, good team spirit and customer orientation. Advanced level in English to interact in an international company. French language would be a plus."
,,,Ninguna,Comercio minorista y comercio,,,Albacete,,,"MANAGER DE MERCADO LEROY MERLIN ALBACETE Liderazgo de equipos, gestión de ventas, estrategia comercial, conocimiento del mercado local, fomento de la satisfacción del cliente, autonomía en la toma de decisiones"
0.0,intern,,FP Superior,"Salud, Farmacia y Tecnología Médica",Temporal,,Albacete,,,"GEROCULTOR/A AMAVIR LAS HAZAS Atención sociosanitaria, curas auxiliares de enfermería, atención a personas en situación de dependencia, certificado de profesionalidad en atención sociosanitaria a personas dependientes en instituciones sociales, trabajo en equipo, atención personal, higiene y salud"
,,,FP Superior,"Salud, Farmacia y Tecnología Médica",Temporal,,Albacete,,,"Personal gerocultor Amavir Albacete Atención sociosanitaria, curas auxiliares de enfermería, atención a personas en situación de dependencia, trabajo en equipo, habilidades de comunicación y empatía"
,,,Grado Universitario,Tecnología y telecomunicaciones,,,Albacete,,,"Employee Relations Senior Manager Spanish labour law, international labour frameworks, analytical skills, risk assessment, decision-making, communication, negotiation, stakeholder management, English, Spanish"
0.0,intern,Presencial,Grado Universitario,Agricultura,Prácticas,,Albacete,7500.0,<15.000,"Prácticas: Grado en ADE / Economía / Ingeniería Industrial en Albacete Análisis de datos, gestión presupuestaria, competencias digitales (Excel avanzado y herramientas de análisis de datos), trabajo en equipo, atención al detalle, planificación, inglés C1"
3.0,senior,,Grado Universitario,Finanzas y seguros,Jornada completa,,Albacete,,,"Ensayista mecánico/a Verificaciones eléctricas, diagnóstico de sistemas mecánicos, colaboración con equipos de ingeniería y montaje"
,,,Ninguna,Transporte y Logística,Jornada completa,,Albacete,18000.0,15.000-22.000,"Conductor repartidor de butano Conducción, reparto de butano, manejo de vehículos pesados, transporte de mercancías peligrosas, CAP en vigor, carnet de conducir tipo C"
,,,FP Superior,Construcción,,,Albacete,,,"Montador/a de ascensores Instalación de aparatos completos, parte mecánica, parte eléctrica, puesta en marcha de aparatos, conocimiento técnico de productos, relación con clientes"
0.0,intern,Hibrido,FP Superior,Internet,Contrato por obra,,Albacete,,,"DISEÑADOR/A INDUSTRIAL Manejo de herramientas de CAD (AutoCAD, Revit, SolidWorks, etc.), conocimientos básicos en diseño y modelado de equipos industriales, sistemas de tuberías y soportes, conocimientos en la elaboración de diagramas de procesos (P	extbackslash{}&ID) y planos de detalle 2D, valorable nivel de inglés B2"
3.0,senior,Hibrido,Grado Universitario,Tecnología y telecomunicaciones,Jornada completa,,Albacete,,,"#CORE Operations Specialist Compliance Solutions Java, Perl, Python, PowerShell, System administration, OCP servers, Windows Server, SQL servers, Agile Safe principles, continuous delivery, iterative approach, PoCs, MVPs, Industrialization, communication skills, problem statement analysis, solution design thinking"
0.0,junior,Hibrido,Ninguna,Tecnología y telecomunicaciones,Jornada completa,,Albacete,,,"E-commerce Technology Support Specialist Magento 2, Grafana, pasarelas de pago, APIs, MySQL, análisis de datos, comunicación y trabajo en equipo"
3.0,senior,Presencial,Grado Universitario,Tecnología y telecomunicaciones,Jornada completa,,Albacete,37500.0,30.000-40.000,"#CORE DIGITAL CAMPUS - IT Digital Workplace Operations Specialist - Sharepoint / JIRA / MS Office Decommissioning ITIL, PowerShell, JIRA, SharePoint, Microsoft Office, AoDocs, Transnational IT supplier Management, Open-mindedness, Self-awareness, Transparency, Willingness to receive feedback, Ability to work in a complex environment, English, German, French"
0.0,intern,,Ninguna,Agricultura,Jornada completa,,Albacete,,,Mecánico/a Mantenimiento y reparación de maquinaria agrícola
2.0,junior,,Grado Universitario,Internet,,,Albacete,,,"27357- Operador/a de Telemando Gestión y supervisión de sistemas de Telemando de Energía, gestión y análisis de incidencias del sistema de alimentación, realización de cortes y restablecimiento de tensión, conocimientos en suministro de energía eléctrica a la tracción ferroviaria de alta velocidad"
5.0,senior,,Grado Universitario,Servicios,,,Albacete,,,"Director/a Oficina Comercial Albacete Liderazgo inspirador, visión estratégica, guiar a los equipos hacia el éxito, innovación comercial, conocimiento del mercado de la provincia de León, dominio avanzado de herramientas Office"
1.0,junior,,Grado Universitario,Agricultura,Jornada completa,,Albacete,,,"Cost Engineer and Operations Business Controller Project Management Skills, Strong analytical and synthesis skills, Team Spirit, Problem solving oriented, Agility to manage big amount of data, SAP, Excel, Google"
1.0,junior,,Ninguna,Deportes y recreación,Jornada completa,,Albacete,,,"Encargado de grupo de Almacén gestión de equipos, conocimientos en PRL, carnet de carretillero, experiencia en carretilla retráctil"
4.0,senior,,Ninguna,Transporte y Logística,,,Albacete,,,"Coordinador de operaciones logísticas Gestión de logística, coordinación de transporte, negociación con proveedores, manejo de herramientas de gestión (ERP/CRM/TMS), Excel avanzado, orientación al cliente, gestión de incidencias, conocimientos de procesos de postventa"
1.0,junior,Hibrido,Ninguna,Tecnología y telecomunicaciones,Jornada completa,,Albacete,,,"Data Engineer Apache Airflow, BigQuery, Python, SQL, GitLab, Superset, Cloud (GCP), Machine Learning, trabajo en equipo, mentalidad de producto, flujo constante de entrega, transparencia total"
2.0,junior,Hibrido,Ninguna,Comercio electrónico,Jornada completa,,Albacete,,,"Account Manager junior de Retail Media & Vendor Management Excel, habilidades de negociación, comunicación, análisis de datos, experiencia en eCommerce, Retail Media, agencias o retailers digitales"
,,,Ninguna,"Salud, Farmacia y Tecnología Médica",Media jornada,,Albacete,10028.52,<15.000,"Terapeuta ocupacional tareas colaborativas, atención directa a personas usuarias con discapacidad, terapia ocupacional"
0.0,intern,,Grado Universitario,Comercio electrónico,Prácticas,,Albacete,3300.0,<15.000,"Becario/a analista departamento de Big Data Excel, análisis de datos, resolución de problemas, pensamiento lógico, comunicación, trabajo en equipo"
0.0,intern,,FP Superior,Servicios,Media jornada,,Albacete,,,"Administrativo/a soporte en tareas administrativas, de documentación y comerciales, apoyo a diferentes áreas, gestión básica de comunicación digital"
0.0,intern,Presencial,Grado Universitario,Agricultura,Prácticas,,Albacete,12000.0,<15.000,"Prácticas Economía Python, Power BI, Excel avanzado, comunicación clara, trabajo colaborativo, análisis de datos"
2.0,junior,,FP Superior,Productos químicos y recursos,Temporal,,Albacete,,,"Técnico de mantenimiento Mantenimiento electromecánico, trabajo en equipo, autonomía, responsabilidad, proactividad, formación en trabajos eléctricos, reporte de trabajos en GMAO"
,,,FP Medio,Servicios,Media jornada,,Albacete,,,"Auxiliar de mantenimiento de instalaciones en residencia Cuidado y reparación de sistemas de fontanería y electricidad, coordinación con servicios externos"
2.0,junior,,Grado Universitario,Internet,,,Albacete,,,"27998 - Operador/a Telemando Energía Diseño, obra o mantenimiento de instalaciones de suministro de energía eléctrica"
,,,Grado Universitario,Energía y medio ambiente,,,Albacete,,,"Técnico de Mantenimiento Sector Energías Renovables - Bolsa de Empleo Conocimiento en el sector eléctrico, mecánico o electrónica, movilidad geográfica nacional e internacional, trabajo en alturas"
0.0,intern,,Ninguna,Construcción,Jornada completa,,Albacete,,,"Maquinista movimiento de tierras Operación de maquinaria para movimiento de tierras, excavadoras, retroexcavadoras, permiso de conducir tipo C"
2.0,junior,Hibrido,Grado Universitario,Energía y medio ambiente,Jornada completa,,Albacete,,,"Ingeniero de Puesta en Marcha Tecnología SG132 Inglés fluido, capacidad de cumplimiento de plazos de entrega, autonomía, iniciativa propia, capacidad para trabajar en equipo, implicación, satisfacción por el trabajo bien hecho, predisposición ante la variabilidad de trabajos, horarios y proyectos, capacidad de comunicación, capacidad de aprendizaje y adaptación a nuevos conocimientos y tareas"
,,Presencial,FP Superior,Energía y medio ambiente,Otro,,Albacete,,,"Técnico de Grandes Correctivos Sector Energías Renovables - Bolsa de Empleo y Formación Conocimiento en el sector de energías renovables, habilidades técnicas en electricidad, mecánica y electrónica, movilidad geográfica nacional, trabajo en alturas"
,,Presencial,FP Superior,Metales y electrónica,Jornada completa,,Albacete,16800.0,15.000-22.000,"Ajustador/a soldador/a Ajuste de piezas metálicas, soldadura, trabajos en tornería y fresadora"
,,,Ninguna,Agricultura,,,Albacete,,,"JIGS & TOOLS AHE AIRBUS HELICOPTERS ALBACETE Uso de paquete Office o herramientas Google Workspace, uso de software de gestión SAP ERP, lectura de planos, conocimiento de tolerancias geométricas y de tolerancias de ajuste, conocimientos en metrología y calibración, comprensión de informes dimensionales (Láser tracker), conocimiento en materiales metálicos"
1.0,junior,,FP Superior,Productos químicos y recursos,Temporal,,Albacete,,,"Inspector Técnico de Calidad metrología, interpretación de planos, normas de calidad ISO, riesgos y medidas preventivas del puesto, inglés avanzado (B2), manejo de ORACLE, PLM, PDCA, PS4"
2.0,junior,,Grado Universitario,Internet,,,Albacete,,,"Ingeniero/a Comercial Posventa Promoción de productos y servicios, oferta y negociación, seguimiento del realizable, investigación del mercado, habilidades de comunicación, fidelización de clientes"
,junior,Presencial,FP Superior,"Salud, Farmacia y Tecnología Médica",Jornada completa,,Albacete,,,"PERSONAL TÉCNICO SUPERIOR EN PRL Empatía, comunicación efectiva, formación en PRL, habilidades de formación, trabajo en equipo, proactividad, gestión de proyectos, conocimiento de la normativa de seguridad laboral"
5.0,senior,Hibrido,Ninguna,Tecnología y telecomunicaciones,Prácticas,"Vacaciones adicionales, Salario atractivo, Seguro de vida, Seguro de salud, Opciones de acciones, Plan de pensiones, Becas de estudio, Cantine gratis, Jardín de infantes, Oficina médica, Posibilidad de colaborar en iniciativas sociales y de responsabilidad corporativa, Oportunidades de capacitación y desarrollo profesional en un entorno multicultural",Albacete,,,"#CORE DIGITAL CAMPUS - Infrastructure Project Manager Project leadership, Technical Knowledge, Communication, Soft Skills"
2.0,junior,,Grado Universitario,Agricultura,Jornada completa,,Albacete,,,"TECHNICAL DATA ENGINEER NH90 S1000D, ASD-STE100, Arbortext Epic, Windchill (PLM), MASCOT, CATIA, ICN Toolbox, ADOC"
,,,Ninguna,Construcción,Jornada completa,,Albacete,17532.0,15.000-22.000,"Instalador/a de aire acondicionado Instalación de sistemas de climatización, agua caliente sanitaria, ventilación, electricidad, fontanería, manejo de soldadura"
3.0,senior,Presencial,FP Superior,Metales y electrónica,Jornada completa,,Albacete,,,"Mecánico/a Maquinaria mecánica, electromecánica, automoción, neumática, hidráulica, soldadura, SAP, reparación de maquinaria pesada agrícola, reparación de maquinaria pesada de obra, reparación de carretillas"
5.0,senior,Hibrido,Ninguna,Tecnología y telecomunicaciones,Jornada completa,,Albacete,,,"#CORE DIGITAL CAMPUS - Operations specialist Compliance solutions Java, Perl, Python, PowerShell, System administration, OCP servers, Windows Server, SQL servers, Agile Safe principles, continuous delivery, iterative approach, PoCs, MVPs, Industrialization, communication skills, problem statement analysis, solution design thinking"
,,,Ninguna,Servicios,,,Albacete,,,"Técnico/a de Taller Empatía, habilidades de comunicación, trabajo en equipo, permiso de conducir"
1.0,junior,Presencial,Ninguna,Construcción,Jornada completa,,Albacete,,,"Soldador/a de tuberías Soldadura de tuberías, técnicas orbitales, exactitud, profesionalidad, concentración, tolerancia al estrés"
2.0,junior,,Ninguna,Deportes y recreación,,,Albacete,,,"Coordinador/a Procesos de Almacén y Mejora continua Uso básico de sistemas de gestión de almacén (SGA), manejo de ordenadora nivel usuario, liderazgo, capacidad para resolver problemas, trabajo en equipo, orden y organización, iniciativa, comunicación clara"
0.0,intern,Presencial,FP Superior,Economía y política,Temporal,,Albacete,24000.0,22.000-30.000,"DOCENTE DE CERTIFICADO DE PROFESIONALIDAD: OPERACIÓN DE SISTEMAS INFORMÁTICAS Buenas habilidades comunicativas, certificado de profesionalidad habilitación docente, actitud proactiva y disposición para el aprendizaje continuo"
,,,Ninguna,Transporte y Logística,Jornada completa,,Albacete,21300.0,15.000-22.000,"Conductor/a de camion Conducción de camiones, planificación de rutas, carga y descarga de mercancías, conocimiento de normas de tránsito y seguridad vial"
,,,Ninguna,Servicios,Jornada completa,,Albacete,,,"Conductor/a camión RSU Conducción de camiones, permiso de conducir clase C, Certificado de Aptitud Profesional (CAP), carnets o certificados profesionales relacionados con el transporte interior de mercancías"
3.0,senior,Hibrido,Ninguna,Energía y medio ambiente,Jornada completa,,Albacete,,,"Técnico/a en Inspección y Diagnóstico Fotovoltaico PVsyst, termografía IR, IEC 62446-1, IEC 61724-1, IEC 60904/60891, análisis de datos, inglés B2, español B2"
3.0,senior,,Grado Universitario,Finanzas y seguros,Jornada completa,,Albacete,,,"Ensayista eléctrico/a Electricidad en el sector ferroviario, trabajo en equipo, resolución de problemas, interpretación de planos y esquemas de ingeniería"
0.0,intern,,Ninguna,Energía y medio ambiente,Jornada completa,,Albacete,,,"JEFE/A DE PRODUCCION PARQUE EÓLICO Ingeniería de Caminos, Ingeniería de Obras Públicas, Ingeniería Civil, Ingeniería Industrial, Gestión de subcontratas, Optimización de recursos humanos y técnicos, Análisis y elaboración de propuestas de mejora, Control de producción/coste, Coordinación de trabajos en obra, Atención al Cliente o Propiedad, Representación empresarial"
,,,Ninguna,"Salud, Farmacia y Tecnología Médica",Media jornada,,Albacete,,,"TERAPEUTA OCUPACIONAL AMAVIR LAS HAZAS Técnicas de peluquería y estética, atención al cliente, habilidades de comunicación, trabajo en equipo"
,,,Ninguna,"Salud, Farmacia y Tecnología Médica",Jornada completa,,Albacete,,,"Auxiliar Clínico Veterinario/a - Medivet Los Llanos Interés en el desarrollo profesional a largo plazo, conocimientos en peluquería, formación en fisioterapia neurológica"
,,Presencial,Ninguna,Agricultura,Jornada completa,,Albacete,18600.0,15.000-22.000,Mecánico de taller null
,,,Grado Universitario,Internet,Prácticas,"Salario atractivo compuesto por fijo + variable, horario flexible, vehículo de empresa, seguro médico gratuito para el empleado y su familia, acceso a plan de compensación flexible",Albacete,,,"Responsable de Zona Comercial- Albacete- Mantenimiento Ascensores Capacidad de comunicación y negociación, proactividad, orientación a resultados, experiencia en el sector de la elevación o sectores afines"
0.0,intern,,FP Medio,Energía y medio ambiente,Jornada completa,,Albacete,,,"Técnico Mantenimiento Eólico - Navica- Dehesica Tecnología V90, tareas electromecánicas, conocimientos eléctricos y electromecánicos, manejo de equipos informáticos, carnet de conducir B"
5.0,senior,Hibrido,Grado Universitario,Energía y medio ambiente,Jornada completa,,Albacete,,,"Iberia Solar & BESS O&M Senior Manager Excel, herramientas de reporting, software de gestión O&M, sistemas SCADA, análisis de rendimiento, liderazgo, organización, capacidad para priorizar"
,senior,Hibrido,Grado Universitario,Tecnología y telecomunicaciones,Jornada completa,,Albacete,,,"#CORE DIGITAL CAMPUS - SAP Authorization analyst & Audit support SAP ECC6, SAP S/4 Hana, SAP GRC, IAM, Identity Governance, IT Audit, IT security, compliance requirements, communication skills, team player"
3.0,senior,Presencial,Grado Universitario,Agricultura,Jornada completa,,Albacete,,,"#CORE DIGITAL CAMPUS - SAP Product Manager Sales & Distribution Google Suite, ABAP, ET, SAP S/4 HANA, SAP ECC6, IDOC, Flat Files, API, Middleware"
2.0,junior,,Ninguna,Comercio minorista y comercio,Jornada completa,,Albacete,,,"Comercial de venta Horeca - Albacete negociación, orientación a resultados, trabajo en campo, comunicación, gestión de cuentas, uso de CRM, trato cercano con clientes, identificación de oportunidades de negocio, resolución de problemas, trabajo en equipo, organización, gestión del tiempo"
0.0,intern,,Grado Universitario,Productos químicos y recursos,Prácticas,,Albacete,,,"BECARIO LEAN MANUFACTURING - CONVENIO CON CENTRO DE ESTUDIOS Paquete Office, Lean Manufacturing, Yellow/Green Belt, análisis de datos, medición de tiempos, control de costes, diseño de procesos"
1.0,senior,Remoto,Grado Universitario,Energía y medio ambiente,Contrato por obra,,Albacete,30000.0,22.000-30.000,"Analista de Negocio - Business Finance Analyst Albacete contabilidad financiera, normas IFRS/GAAP, manejo de herramientas financieras y sistemas de gestión, preferiblemente ERP (SAP, IFS u otros), manejo de ofimática a nivel avanzado (Excel, Power BI...), buen nivel de Inglés"
,,,Postgrado,"Salud, Farmacia y Tecnología Médica",Temporal,,Albacete,,,"Técnico/a de Prevención Superior - ALBACETE Evaluación y análisis de riesgos, elaboración de informes y propuestas de medidas preventivas, implantación y seguimiento de planes de prevención, realización de mediciones higiénicas, formación y sensibilización del personal en PRL, inspecciones de seguridad y control del cumplimiento normativo, investigación de incidentes y accidentes laborales"
1.0,junior,,Ninguna,Energía y medio ambiente,,,Albacete,,,"Técnico de Mantenimiento Eólico - Proyecto Campollano / Lezuza Conocimientos eléctricos y electromecánicos, manejo de equipos informáticos, carnet de conducir B, predisposición ante la variabilidad de trabajos, horarios, proyectos, guardias de fin de semana, experiencia en trabajos de campo, curso de PRL 60 horas, GWO en vigor"
0.0,intern,Presencial,Grado Universitario,Agricultura,Jornada completa,,Albacete,,,"Jefe/a | responsable de calidad Paquete Office, resolución de problemas, organización, proactividad, inglés nivel B2/First, permiso de conducir"
3.0,senior,Presencial,Grado Universitario,Tecnología y telecomunicaciones,Jornada completa,"Vacaciones adicionales, Salario competitivo, Modelo híbrido de trabajo, Transporte colectivo, Seguro de vida, Seguro de salud, Opciones de acciones, Plan de pensiones, Becas de estudio, Servicios en el lugar de trabajo (cafetería gratuita, guardería, oficina médica), Oportunidades de formación y desarrollo, Iniciativas de responsabilidad social corporativa",Albacete,,,"#CORE DIGITAL CAMPUS - Network Security Engineer Redes de computadoras, Seguridad de la información, Programación, Automatización, DevOps, Ingeniería de redes, Gestión de configuración, Gestión de proyectos, Trabajo en equipo, Comunicación, Análisis de problemas, Documentación técnica, Transversales (trabajo en equipo, comunicación, adaptabilidad)"
3.0,intern,Presencial,Grado Universitario,Tecnología y telecomunicaciones,Jornada completa,"Vacation days plus additional days-off along the year (Apróx. 35 days per year in total), Attractive salary, Hybrid model of working, Collective transport service subject to working calendar/home location, Benefits such as life insurance, health insurance, employee stock options, retirement plan, or study grants, On-site facilities (among others): free canteen, kindergarten, medical office, Possibility to collaborate in different social and corporate social responsibility initiatives, Excellent upskilling opportunities and great development prospects in a multicultural environment, Option to access special rates in products & benefits",Albacete,,,"#CORE DIGITAL CAMPUS - IAM IT Operation and Service Manager Master's degree level (or equivalent) in Information Technology or related field, 3 to 5 years of experience as an IT Operator, ideally in Identity and Access Management in industrial and transversal context, Knowledge of Identity Lifecycle, User Provisioning, Directory Services, Password Management, Single Sign-On (SSO), Audit & Compliance, Identity Governance, and Role Management, Knowledge of the ITIL framework, Knowledge of modern authentication & authorization concepts/protocols (Active Directory, Single Sign-On and associated technical protocols, multi-factor authentication, cyber-security risks), Knowledge on programming languages such as Powershell and CSharp, Soft skills: willingness to improve a given situation by proposing value-added solutions, self-driven, motivated, constantly learning on the job and creative, dual skills: be autonomous and be team player, strong verbal and written communication skills, team spirit and good relationship, service spirit and accountability, problem-solving and troubleshooting skills, fluent English, French is a plus"
2.0,senior,Hibrido,Grado Universitario,Medios de comunicación,Jornada completa,,Albacete,,,"Personal Técnico Evaluación Ambiental Evaluación de Impacto Ambiental, Sistemas SIG (QGIS, ArcGIS), AUTOCAD, PRESTO, habilidades comunicativas y de negociación, conocimientos sobre el mercado eléctrico y el sector renovable"
3.0,senior,,Ninguna,Energía y medio ambiente,,,Albacete,,,"Hydro Maintenance Project Manager / Gestor de Mantenimiento de Centrales Hidroeléctricas - Albacete Turbinas hidráulicas, hidráulica, máquinas rotativas, inglés nivel B1 o superior, trabajo en equipo, autonomía, liderazgo técnico"
,,,Ninguna,Internet,,,Albacete,,,"Técnico/a de Ingeniería de Planta Trabajo en equipo, responsabilidad, autonomía, manejo de plataformas elevadoras, trabajos en altura, acreditación para uso de puente grúa, conocimientos en PRL del sector metal, carnet de carretillero"
1.0,junior,,FP Superior,Energía y medio ambiente,Jornada completa,,Albacete,,,"Técnico de Mantenimiento Eólico Itinerante - Nacional e Internacional Conocimientos eléctricos y electromecánicos, manejo de equipos informáticos (portátil, herramientas ofimáticas), carnet de conducir B, experiencia en trabajos de campo"
,,Presencial,Ninguna,Energía y medio ambiente,Jornada completa,,Albacete,17680.0,15.000-22.000,"DOCENTE DE CERTIFICADO DE PROFESIONALIDAD: MANTENIMIENTO Y REHABILITACIÓN DE EDIFICIOS Impartición de clases, preparación y adaptación de contenidos didácticos, seguimiento individualizado del aprendizaje, coordinación con el equipo docente y técnico, evaluación del progreso"
,,,Ninguna,Tecnología y telecomunicaciones,,,Albacete,,,"Programador .NET Albacete programación .Net (C#), .Net Framework 4.7.2, API .Net Core, MVC 5, MVVM, WPF, WCF, SQL Server, Entity, IONIC, PHP, Angular 5, JavaScript, CSS3, HTML 5, TypeScript, ADO .Net, WinForms, ASP.NET, DevOps, metodologías Agiles"
0.0,intern,,Grado Universitario,Economía y política,Prácticas,,Albacete,,,"Becario estrategia de negocio y operaciones web - Convenio con universidad - Remunerado Análisis de datos, Excel, Superset, Grafana, gestión de contenido (CMS), Magento 2, trabajo en equipo, observación detallada, proactividad"
,,Presencial,Ninguna,Agricultura,Jornada completa,,Albacete,18600.0,15.000-22.000,"Técnico de taller Mecánica, electrónica, hidráulica"
2.0,junior,,Grado Universitario,Finanzas y seguros,,,Albacete,,,"Gerente Comercial Albacete Identidad corporativa, Compromiso, Liderazgo, Orientacion al cliente, Confianza y credibilidad, Criterio, Profesionalidad, Planificación comercial, Habilidades de comunicación, Flexibilidad y adaptabilidad al entorno, mercado y clientes, Proactividad comercial, Capacidad analítica, complejidad de las operaciones"
3.0,intern,Presencial,Grado Universitario,Energía y medio ambiente,Contrato por obra,,Albacete,30000.0,22.000-30.000,"Responsable de Proyectos O&M Fotovoltaica Proactividad, iniciativa propia, capacidad de trabajo en equipo, dominio de ofimática, inglés B2"
0.0,intern,,FP Superior,Comercio electrónico,Prácticas,,Albacete,,,"Becario/a departamento financiero - Imprescindible poder firmar convenio con Universidad o centro educativo Excel, ERP (SAP, Navision, Tryton, o similares)"
3.0,senior,Presencial,Ninguna,Tecnología y telecomunicaciones,Jornada completa,"Vacaciones adicionales, Salario atractivo, Seguro de vida, Seguro de salud, Opciones de acciones, Plan de pensiones, Subvenciones para estudios, Servicio de transporte colectivo, Facilidades en el lugar de trabajo, Participación en iniciativas sociales y de responsabilidad corporativa, Oportunidades de formación y desarrollo, Acceso a productos y beneficios a precios especiales",Albacete,45000.0,40.000-65.000,"#CORE DIGITAL CAMPUS - Digital Operations Engineer – Web Solutions & CRM ITSM / Ticketing, System & Infrastructure, Databases, Network & Security, DevSecOps, Cloud solution, Collaborative Tools"
,senior,Hibrido,Grado Universitario,Tecnología y telecomunicaciones,Jornada completa,,Albacete,,,"#CORE DIGITAL CAMPUS - SAP Product Manager Digital Enablement & Learning Platforms IT Product Management, Digital Transformation, Educational Technology, SAP Ecosystem (S/4HANA, SAP EnableNow, SAP WalkMe, SAP IBP), DAP Expertise, Agile Proficiency, Jira, Analytical Mindset, Architectural Understanding"
5.0,senior,Hibrido,Grado Universitario,Energía y medio ambiente,Jornada completa,,Albacete,,,"INGENIERO/A MECÁNICO SENIOR – ALBACETE/MADRID ANSYS, CYPE, ASME, Autocad, Inventor, Solidworks, Microsoft Office, trabajo en equipo, liderazgo, comunicación, gestión de proyectos, análisis y simulación mecánica"
0.0,intern,,Grado Universitario,"Salud, Farmacia y Tecnología Médica",Temporal,,Albacete,,,"33651 / Técnico/a Superior o Intermedio de PRL - Albacete Título universitario en Prevención de Riesgos Laborales, Experiencia como TPRL en obra, Vehículo propio y carnet de conducir"
0.0,intern,Hibrido,Ninguna,"Salud, Farmacia y Tecnología Médica",Temporal,,Albacete,,,"Fisioterapeuta con formación en pilates e invasiva Técnicas invasivas, Pilates, conocimientos en suelo pélvico"
,,Remoto,Grado Universitario,Energía y medio ambiente,Jornada completa,,Albacete,,,"Ingeniero/a de Redes Eléctricas - Experto/a en cálculos con DIgSILENT PowerFactory DIgSILENT PowerFactory, Python, cálculo de redes eléctricas, conocimiento de códigos de red españoles, europeos y alemanes, normas de conexión (VDE-AR-N 4110/4120/4130, RfG, TABs), inglés, alemán"
2.0,junior,,FP Superior,Medios de comunicación,Jornada completa,,Albacete,,,"Técnico de PRL y Medio Ambiente FP Grado Superior en PRL, Conocimientos en Medio Ambiente y Eficiencia Energética, Nivel de Inglés medio (B1 - B2), Carnet de conducir (B1), Manejo avanzado de Microsoft Office"
5.0,senior,Hibrido,Postgrado,Agricultura,Jornada completa,,Albacete,,,"#CORE DIGITAL CAMPUS - Senior Data Engineer – SAP BI & Palantir Foundry F/M SAP BI, Palantir Foundry, Python (PySpark), SQL, Agile y SCRUM metodologías"
5.0,senior,,Grado Universitario,Energía y medio ambiente,Jornada completa,,Albacete,,,"INGENIERO/A QUÍMICO DE PROCESOS SENIOR AutoCad, Mathcad, ChemCad, inglés B2, cálculos hidráulicos monofásicos y bifásicos, cálculos de válvulas de control y seguridad, diseño de equipos de proceso, desarrollo de P	extbackslash	extbackslash&IDs, balances de energía y materia, desarrollo de PFDs, especificaciones de valvulería e instrumentación, simulaciones dinámicas"
